District,Crop,Year,Area,Production,Yield,RH2M,GWETTOP,T2M_MAX,T2M_MIN,GWETROOT,WS2M_MAX,WS2M_MIN,PRECTOTCORR
Jhapa,Paddy,197980,87070,148020,1700,65.38,0.61,38.3,8.25,0.62,7.17,0.02,5.27
Jhapa,Paddy,198081,87000,152250,1750,62.19,0.59,40.09,7.88,0.6,6.55,0.02,5.27
Jhapa,Paddy,198182,91380,137070,1500,55.19,0.52,40.82,6.88,0.55,9.45,0.02,5.27
Jhapa,Paddy,198283,84350,126570,1501,59.56,0.56,41.83,6.31,0.59,8.33,0.05,5.27
Jhapa,Paddy,198384,90860,160820,1770,59.25,0.55,40.69,6.08,0.59,7.3,0.02,5.27
Jhapa,Paddy,198485,92990,143380,1542,57.75,0.53,42.17,8.08,0.55,8.17,0.01,5.27
Jhapa,Paddy,198586,86500,153100,1770,58.94,0.55,40.94,8.42,0.58,7.03,0.03,5.27
Jhapa,Paddy,198687,85930,147380,1715,56.44,0.49,40.68,7.62,0.52,7.89,0.03,5.27
Jhapa,Paddy,198788,85240,167800,1969,53.75,0.48,42.74,6.03,0.53,8.79,0.02,5.27
Jhapa,Paddy,198889,86890,216770,2495,57,0.48,40.01,6.62,0.52,6.67,0.02,5.27
Jhapa,Paddy,199091,88550,206900,2337,55.44,0.49,42.66,7.95,0.55,7.16,0.01,5.27
Jhapa,Paddy,199192,88710,252290,2844,51.62,0.45,42.79,5.94,0.49,10.61,0.02,0
Jhapa,Paddy,199293,80730,202630,2510,52.5,0.41,41.38,5.88,0.46,7.72,0.02,0
Jhapa,Paddy,199394,87900,228799,2603,49.19,0.4,43.51,7.65,0.46,6.5,0.01,0
Jhapa,Paddy,199495,78720,189438,2406,51.5,0.41,42.33,7.01,0.48,8.17,0.02,0
Jhapa,Paddy,199596,93578,253128,2705,53.81,0.48,42.01,8.11,0.52,9.19,0.02,5.27
Jhapa,Paddy,199697,94480,261710,2770,55.25,0.49,41.07,6.93,0.54,7.48,0.03,5.27
Jhapa,Paddy,199798,94000,247590,2634,62.94,0.59,40.35,6.25,0.61,8.54,0.02,5.27
Jhapa,Paddy,199899,94500,283500,3000,60.75,0.58,41.28,9.19,0.6,8.55,0.02,5.27
Jhapa,Paddy,199900,95000,293000,3084,60,0.51,40.09,7.14,0.52,6.1,0.03,5.27
Jhapa,Paddy,200001,91518,292858,3200,60,0.53,40.33,5.2,0.57,6.66,0.04,5.27
Jhapa,Paddy,200102,84214,247680,2941,64.38,0.57,40.31,6.69,0.59,6.97,0.02,5.27
Jhapa,Paddy,200203,92150,290660,3154,63.88,0.56,39.48,6.07,0.57,7.58,0.02,5.27
Jhapa,Paddy,200304,92100,298600,3242,66.44,0.6,40.91,7.29,0.62,7.15,0.02,5.27
Jhapa,Paddy,200405,96875,314843.75,3250,64.06,0.59,40.43,8.62,0.6,8.72,0.02,5.27
Jhapa,Paddy,200506,96800,311690,3220,63.75,0.56,39.88,7.82,0.58,8.95,0,5.27
Jhapa,Paddy,200607,81000,243290,3004,66,0.6,39.26,6.46,0.62,6.9,0.02,5.27
Jhapa,Paddy,200708,96161,312523,3250,66.75,0.6,39.08,7.22,0.61,7.11,0.02,5.27
