Area,Item,Year,hg/ha_yield,rainfall,pesticides_tonnes,avg_temp_x,avg_temp_y
Nepal,"Almonds, in shell",1998,10000,1500,91.07,14.23,14.23
Nepal,Apples,1998,115078,1500,91.07,14.23,14.23
Nepal,Apricots,1998,68548,1500,91.07,14.23,14.23
Nepal,Areca nuts,1998,19375,1500,91.07,14.23,14.23
Nepal,Bananas,1998,161980,1500,91.07,14.23,14.23
Nepal,Barley,1998,10027,1500,91.07,14.23,14.23
Nepal,"Beans, dry",1998,6539,1500,91.07,14.23,14.23
Nepal,"Broad beans and horse beans, dry",1998,5457,1500,91.07,14.23,14.23
Nepal,"Chick peas, dry",1998,7008,1500,91.07,14.23,14.23
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1998,8075,1500,91.07,14.23,14.23
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1998,20000,1500,91.07,14.23,14.23
Nepal,"Coconuts, in shell",1998,20298,1500,91.07,14.23,14.23
Nepal,"Coffee, green",1998,2059,1500,91.07,14.23,14.23
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1998,50000,1500,91.07,14.23,14.23
Nepal,"Ginger, raw",1998,92508,1500,91.07,14.23,14.23
Nepal,Green garlic,1998,50000,1500,91.07,14.23,14.23
Nepal,"Jute, raw or retted",1998,12674,1500,91.07,14.23,14.23
Nepal,Lemons and limes,1998,80952,1500,91.07,14.23,14.23
Nepal,"Lentils, dry",1998,6991,1500,91.07,14.23,14.23
Nepal,Linseed,1998,4667,1500,91.07,14.23,14.23
Nepal,Maize (corn),1998,17112,1500,91.07,14.23,14.23
Nepal,"Mangoes, guavas and mangosteens",1998,84851,1500,91.07,14.23,14.23
Nepal,Millet,1998,10865,1500,91.07,14.23,14.23
Nepal,Mustard seed,1998,6150,1500,91.07,14.23,14.23
Nepal,"Nutmeg, mace, cardamoms, raw",1998,3604,1500,91.07,14.23,14.23
Nepal,Oranges,1998,150000,1500,91.07,14.23,14.23
Nepal,"Other citrus fruit, n.e.c.",1998,79245,1500,91.07,14.23,14.23
Nepal,"Other fruits, n.e.c.",1998,94904,1500,91.07,14.23,14.23
Nepal,Other pulses n.e.c.,1998,5961,1500,91.07,14.23,14.23
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",1998,73193,1500,91.07,14.23,14.23
Nepal,"Other vegetables, fresh n.e.c.",1998,94287,1500,91.07,14.23,14.23
Nepal,Papayas,1998,175000,1500,91.07,14.23,14.23
Nepal,Peaches and nectarines,1998,88490,1500,91.07,14.23,14.23
Nepal,Pears,1998,141053,1500,91.07,14.23,14.23
Nepal,Persimmons,1998,78725,1500,91.07,14.23,14.23
Nepal,"Pigeon peas, dry",1998,7238,1500,91.07,14.23,14.23
Nepal,Pineapples,1998,179764,1500,91.07,14.23,14.23
Nepal,Plums and sloes,1998,90000,1500,91.07,14.23,14.23
Nepal,Potatoes,1998,84664,1500,91.07,14.23,14.23
Nepal,Rice,1998,24722,1500,91.07,14.23,14.23
Nepal,"Seed cotton, unginned",1998,3034,1500,91.07,14.23,14.23
Nepal,Soya beans,1998,7311,1500,91.07,14.23,14.23
Nepal,Sugar cane,1998,351957,1500,91.07,14.23,14.23
Nepal,"Tangerines, mandarins, clementines",1998,58585,1500,91.07,14.23,14.23
Nepal,Tea leaves,1998,21667,1500,91.07,14.23,14.23
Nepal,Unmanufactured tobacco,1998,7876,1500,91.07,14.23,14.23
Nepal,"Walnuts, in shell",1998,38710,1500,91.07,14.23,14.23
Nepal,Wheat,1998,15463,1500,91.07,14.23,14.23
Nepal,"Almonds, in shell",1999,10000,1500,101.39,14.47,14.47
Nepal,Apples,1999,135052,1500,101.39,14.47,14.47
Nepal,Apricots,1999,68060,1500,101.39,14.47,14.47
Nepal,Areca nuts,1999,18824,1500,101.39,14.47,14.47
Nepal,Bananas,1999,162857,1500,101.39,14.47,14.47
Nepal,Barley,1999,10017,1500,101.39,14.47,14.47
Nepal,"Beans, dry",1999,6698,1500,101.39,14.47,14.47
Nepal,"Broad beans and horse beans, dry",1999,6218,1500,101.39,14.47,14.47
Nepal,Cabbages,1999,220000,1500,101.39,14.47,14.47
Nepal,"Chick peas, dry",1999,7976,1500,101.39,14.47,14.47
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1999,8061,1500,101.39,14.47,14.47
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",1999,20000,1500,101.39,14.47,14.47
Nepal,"Coconuts, in shell",1999,20000,1500,101.39,14.47,14.47
Nepal,"Coffee, green",1999,1625,1500,101.39,14.47,14.47
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1999,50033,1500,101.39,14.47,14.47
Nepal,"Ginger, raw",1999,92732,1500,101.39,14.47,14.47
Nepal,Green garlic,1999,50000,1500,101.39,14.47,14.47
Nepal,"Jute, raw or retted",1999,13015,1500,101.39,14.47,14.47
Nepal,Lemons and limes,1999,81111,1500,101.39,14.47,14.47
Nepal,"Lentils, dry",1999,7577,1500,101.39,14.47,14.47
Nepal,Linseed,1999,4643,1500,101.39,14.47,14.47
Nepal,Maize (corn),1999,16776,1500,101.39,14.47,14.47
Nepal,"Mangoes, guavas and mangosteens",1999,85775,1500,101.39,14.47,14.47
Nepal,Millet,1999,11039,1500,101.39,14.47,14.47
Nepal,Mustard seed,1999,6287,1500,101.39,14.47,14.47
Nepal,"Nutmeg, mace, cardamoms, raw",1999,3613,1500,101.39,14.47,14.47
Nepal,Oranges,1999,149024,1500,101.39,14.47,14.47
Nepal,"Other citrus fruit, n.e.c.",1999,79018,1500,101.39,14.47,14.47
Nepal,"Other fruits, n.e.c.",1999,103975,1500,101.39,14.47,14.47
Nepal,Other pulses n.e.c.,1999,6712,1500,101.39,14.47,14.47
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",1999,68000,1500,101.39,14.47,14.47
Nepal,"Other vegetables, fresh n.e.c.",1999,95898,1500,101.39,14.47,14.47
Nepal,Papayas,1999,173333,1500,101.39,14.47,14.47
Nepal,Peaches and nectarines,1999,88889,1500,101.39,14.47,14.47
