Year,Annual Mean,Area
1901,13.65,Nepal
1902,13.72,Nepal
1903,13.45,Nepal
1904,13.26,Nepal
1905,13.02,Nepal
1906,13.4,Nepal
1907,13.25,Nepal
1908,13.56,Nepal
1909,13.35,Nepal
1910,13.12,Nepal
1911,13.28,Nepal
1912,13.3,Nepal
1913,13.02,Nepal
1914,13.24,Nepal
1915,13.79,Nepal
1916,13.39,Nepal
1917,12.64,Nepal
1918,13.29,Nepal
1919,13.21,Nepal
1920,13.48,Nepal
1921,13.9,Nepal
1922,13.55,Nepal
1923,13.67,Nepal
1924,13.65,Nepal
1925,12.98,Nepal
1926,13.11,Nepal
1927,13.19,Nepal
1928,13.72,Nepal
1929,13.53,Nepal
1930,13.35,Nepal
1931,13.75,Nepal
1932,13.71,Nepal
1933,12.96,Nepal
1934,13.29,Nepal
1935,13.44,Nepal
1936,13.21,Nepal
1937,13.24,Nepal
1938,13.6,Nepal
1939,13.54,Nepal
1940,13.45,Nepal
1941,14.21,Nepal
1942,13.9,Nepal
1943,13.78,Nepal
1944,13.65,Nepal
1945,13.37,Nepal
1946,13.86,Nepal
1947,14.06,Nepal
1948,13.68,Nepal
1949,13.63,Nepal
1950,13.32,Nepal
1951,13.83,Nepal
1952,13.9,Nepal
1953,14.15,Nepal
1954,13.78,Nepal
1955,13.56,Nepal
1956,13.69,Nepal
1957,13.62,Nepal
1958,14.36,Nepal
1959,13.81,Nepal
1960,13.7,Nepal
1961,13.47,Nepal
1962,13.39,Nepal
1963,13.35,Nepal
1964,13.7,Nepal
1965,13.3,Nepal
1966,13.77,Nepal
1967,13.24,Nepal
1968,13.14,Nepal
1969,13.89,Nepal
1970,13.75,Nepal
1971,13.05,Nepal
1972,13.66,Nepal
1973,13.68,Nepal
1974,13.69,Nepal
1975,13.48,Nepal
1976,13.57,Nepal
1977,13.55,Nepal
1978,13.22,Nepal
1979,13.86,Nepal
1980,13.79,Nepal
1981,13.45,Nepal
1982,13.43,Nepal
1983,13.14,Nepal
1984,13.76,Nepal
1985,13.97,Nepal
1986,13.24,Nepal
1987,13.7,Nepal
1988,14.03,Nepal
1989,13.49,Nepal
1990,13.67,Nepal
1991,13.55,Nepal
1992,13.34,Nepal
1993,13.77,Nepal
1994,13.86,Nepal
1995,13.94,Nepal
1996,13.97,Nepal
1997,13.1,Nepal
1998,14.23,Nepal
1999,14.47,Nepal
2000,13.99,Nepal
2001,14.31,Nepal
2002,14.28,Nepal
2003,14.2,Nepal
2004,14.4,Nepal
2005,14.26,Nepal
2006,14.7,Nepal
2007,14.59,Nepal
2008,14.19,Nepal
2009,14.91,Nepal
2010,14.94,Nepal
2011,14.21,Nepal
2012,14.1,Nepal
2013,13.98,Nepal
2014,14.06,Nepal
2015,14.08,Nepal
2016,14.77,Nepal
2017,14.53,Nepal
2018,14.26,Nepal
2019,14.08,Nepal
2020,13.89,Nepal
2021,14.29,Nepal
2022,14.39,Nepal
