Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","1998","1998","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","1999","1999","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","10000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","8182"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","7273"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","5000"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","3944"
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","6913"
